sample_id	state_score	LUAD_features	LUSC_features	truth	prediction
PDMR_119387	-0.292902734045637	158	193	LUSC	LUSC
PDMR_121662	2.04118272212937	158	193	LUAD	LUAD
PDMR_145666	1.98830349150764	158	193	LUAD	LUAD
PDMR_152527	-1.40059701792126	158	193	LUSC	LUSC
PDMR_176374	-1.06566385966941	158	193	LUSC	LUSC
PDMR_237688	1.82898110779176	158	193	LUAD	LUAD
PDMR_258747	-0.269274792118417	158	193	LUSC	LUSC
PDMR_269647	1.31328558974503	158	193	LUAD	LUAD
PDMR_283833	0.960281278000678	158	193	LUAD	LUAD
PDMR_283983	-1.52959254808335	158	193	LUSC	LUSC
PDMR_284588	-1.63988717690739	158	193	LUSC	LUSC
PDMR_287614	-1.16804765143361	158	193	LUSC	LUSC
PDMR_349418	1.37722160508959	158	193	LUAD	LUAD
PDMR_413552	-1.66790199931763	158	193	LUSC	LUSC
PDMR_417612	-1.2430344512494	158	193	LUSC	LUSC
PDMR_417821	-1.50498695185283	158	193	LUSC	LUSC
PDMR_429463	1.77971323664887	158	193	LUAD	LUAD
PDMR_436779	-0.297415758450663	158	193	LUSC	LUSC
PDMR_477875	-1.27560515345415	158	193	LUSC	LUSC
PDMR_481146	-1.57407944016157	158	193	LUSC	LUSC
PDMR_538559	-0.493276665423332	158	193	LUAD	LUSC
PDMR_567486	-1.24598232825637	158	193	LUSC	LUSC
PDMR_576588	-1.27575100004846	158	193	LUSC	LUSC
PDMR_595498	1.9243124794275	158	193	LUAD	LUAD
PDMR_618468	-1.28231414182347	158	193	LUSC	LUSC
PDMR_628479	1.09819036651088	158	193	LUAD	LUAD
PDMR_649139	1.01240352303405	158	193	LUSC	LUAD
PDMR_653999	1.52282774961224	158	193	LUAD	LUAD
PDMR_656117	0.835229165212135	158	193	LUSC	LUAD
PDMR_672682	0.0510863064475071	158	193	LUSC	LUAD
PDMR_683892	-0.328863627801824	158	193	LUSC	LUSC
PDMR_686756	-1.41350101719169	158	193	LUSC	LUSC
PDMR_692585	-0.392030337529643	158	193	LUSC	LUSC
PDMR_695912	1.66599928226012	158	193	LUAD	LUAD
PDMR_717593	-1.68242734829472	158	193	LUSC	LUSC
PDMR_729321	1.06880760379217	158	193	LUAD	LUAD
PDMR_732878	1.27453319169759	158	193	LUSC	LUAD
PDMR_738386	-1.31412879049683	158	193	LUSC	LUSC
PDMR_765638	-0.143117734769217	158	193	LUSC	LUSC
PDMR_827478	-1.31343817210846	158	193	LUSC	LUSC
PDMR_827998	0.359088727254585	158	193	LUSC	LUAD
PDMR_864244	-1.46388476286855	158	193	LUSC	LUSC
PDMR_872464	1.72888824751124	158	193	LUAD	LUAD
PDMR_886529	-1.2815755134897	158	193	LUSC	LUSC
PDMR_914883	-1.00396784316942	158	193	LUSC	LUSC
PDMR_921179	-1.45049216383241	158	193	LUSC	LUSC
PDMR_941728	1.48106849629022	158	193	LUAD	LUAD
PDMR_952719	1.03276774049192	158	193	LUAD	LUAD
PDMR_996942	-1.46657416080178	158	193	LUSC	LUSC
PDMR_997726	-0.673293303396938	158	193	LUSC	LUSC
PDMR_K00052	0.863615549388286	158	193	LUAD	LUAD
PDMR_K08837	1.01932360525649	158	193	LUAD	LUAD
PDMR_K12877	1.29457631815266	158	193	LUAD	LUAD
PDMR_K16732	1.47641406360944	158	193	LUAD	LUAD
PDMR_K22795	1.3321020312135	158	193	LUAD	LUAD
PDMR_K86415	0.823404967892622	158	193	LUAD	LUAD
